pricingdate,priceclose,r1,signal
2001-01-03,268.63385677337646,0.012004265533640313,1
2001-01-04,266.14214420318604,-0.009275497139932254,0
2001-01-05,253.1564817428589,-0.048792206507561775,0
2001-01-08,245.3413257598877,-0.030870850823836893,0
2001-01-09,247.0532569885254,0.006977753231484307,1
2001-01-10,252.3055715560913,0.021259847498427797,1
2001-01-11,251.09812259674072,-0.004785661100956462,0
2001-01-12,252.94338035583496,0.007348751715112067,1
2001-01-16,253.98961544036865,0.0041362422019579625,1
2001-01-17,249.97079181671143,-0.015822787150921003,0
2001-01-18,251.1906976699829,0.004880193579440251,1
2001-01-19,251.10599327087402,-0.00033721152851040603,0
2001-01-22,256.6341505050659,0.022015234133534012,1
2001-01-23,266.4765567779541,0.038351896088334,1
2001-01-24,266.1917428970337,-0.0010688140238832577,0
2001-01-25,270.61660385131836,0.01662283324842373,1
2001-01-26,271.36344814300537,0.0027597873931539674,1
2001-01-29,275.26177883148193,0.014365717693940017,1
2001-01-30,272.6614875793457,-0.009446612105664554,0
2001-01-31,275.58147859573364,0.010709216920626652,1
2001-02-01,271.63940382003784,-0.014304570814349438,0
2001-02-02,267.0024070739746,-0.017070412763588783,0
2001-02-05,269.02122688293457,0.007561054715138349,1
2001-02-06,274.24757385253906,0.019427266131228915,1
2001-02-07,270.256422996521,-0.014553094490323826,0
2001-02-08,272.07990550994873,0.006747230993474629,1
2001-02-09,268.12703227996826,-0.014528354170704971,0
2001-02-12,272.74077224731445,0.01720729136526855,1
2001-02-13,268.83607482910156,-0.01431651522447186,0
2001-02-14,269.5188989639282,0.00253992748280063,1
2001-02-15,271.34138679504395,0.006762003845079745,1
2001-02-16,266.42484760284424,-0.018119385510155794,0
2001-02-20,261.3502883911133,-0.019046869154244694,0
2001-02-21,258.80215978622437,-0.009749859548942252,0
2001-02-22,255.48548793792725,-0.012815472061889932,0
2001-02-23,255.69793558120728,0.0008315448560101135,1
2001-02-26,266.2773208618164,0.04137454319512579,1
2001-02-27,259.6125888824463,-0.0250292888549406,0
2001-02-28,259.01923179626465,-0.0022855482037132946,0
2001-03-01,258.40026473999023,-0.002389656752442515,0
2001-03-02,260.9749174118042,0.00996381592102713,1
2001-03-05,261.03878688812256,0.00024473415664538756,1
2001-03-06,258.6708345413208,-0.00907126628586663,0
2001-03-07,262.2113790512085,0.013687451529531103,1
2001-03-08,257.0500192642212,-0.019683965683195304,0
2001-03-09,251.25652027130127,-0.02253841104351284,0
2001-03-12,242.206552028656,-0.036018839363345934,0
2001-03-13,246.25798225402832,0.01672717022491188,1
2001-03-14,241.38567638397217,-0.01978537233781974,0
2001-03-15,240.26329612731934,-0.004649738432977557,0
2001-03-16,234.82475185394287,-0.02263576818031532,0
2001-03-19,239.78957843780518,0.02114268851415768,1
2001-03-20,236.8707776069641,-0.012172342308855222,0
2001-03-21,231.57056999206543,-0.022375945519515383,0
2001-03-22,228.1573429107666,-0.014739468324562077,0
2001-03-23,232.99225664138794,0.021191137961806827,1
2001-03-26,240.82506656646729,0.03361832722679403,1
2001-03-27,244.03906536102295,0.013345781817394764,1
2001-03-28,240.05429124832153,-0.01632842719999139,0
2001-03-29,240.88867950439453,0.0034758314535183743,1
2001-03-30,242.44585990905762,0.006464315416842448,1
2001-04-02,238.07428646087646,-0.01803113259933964,0
2001-04-03,234.62125301361084,-0.014504016786512919,0
2001-04-04,230.19999933242798,-0.018844216473971276,0
2001-04-05,238.19739437103271,0.03474107324846609,1
2001-04-06,235.97249937057495,-0.009340551378963058,0
2001-04-09,240.2766661643982,0.018240120375484503,1
2001-04-10,248.2208366394043,0.03306259655513388,1
2001-04-11,246.68833565711975,-0.006173941732824151,0
2001-04-12,250.67667055130005,0.01616750497568642,1
2001-04-16,248.10583686828613,-0.010255576146595557,0
2001-04-17,248.69833278656006,0.0023880773050433124,1
2001-04-18,257.1366677284241,0.03393000205235008,1
2001-04-19,257.5308337211609,0.0015329046464627183,1
2001-04-20,250.74167156219482,-0.02636252157020147,0
